Group,YOLOv7_mAP,YOLOv9_map,Difference,% Improvement,,,,,v7_ball_map,v7_fmo_ball_map,v9_ball_map,v9_fmo_ball_map,v7_avg,v9_avg
golf,0.612,0.554,-0.058,-9%,,,,golf,null,0.612,null,0.554,0.612,0.554
golf10,0.559,0.995,0.436,78%,,,,golf10,null,0.559,null,0.995,0.559,0.995
golf11,0.696,0.995,0.299,43%,,,,golf11,null,0.696,null,0.995,0.696,0.995
golf12,1,0.995,-0.005,-1%,,,,golf12,null,1,null,0.995,1,0.995
golf13,0.571,0.995,0.424,74%,,,,golf13,null,0.571,null,0.995,0.571,0.995
golf18,0.5,0.745,0.245,49%,,,,golf18,0.5,null,0.745,null,0.5,0.745
golf19,0.4045,0.167,-0.2375,-59%,,,,golf19,0.809,0,0.702,-0.368,0.4045,0.167
golf5,1,0.995,-0.005,-1%,,,,golf4,null,0.666,null,null,0.666,null
golf6,0.9185,0.9315,0.013,1%,,,,golf5,null,1,null,0.995,1,0.995
golf8,0.8335,0.76,-0.0735,-9%,,,,golf6,1,0.837,0.995,0.868,0.9185,0.9315
golf9,0.875,0.995,0.12,14%,,,,golf7,null,null,null,0.995,null,0.995
,,,,,,,,golf8,0.996,0.671,0.663,0.857,0.8335,0.76
,,,,,,,,golf9,1,0.75,0.995,0.995,0.875,0.995
TTEST,0.070525377,,,,,,,,,,,,,
